state_abb,state_name,state_biden_2020,state_trump_2020,state_clinton_2016,state_trump_2016,state_clinton_2016_margin,state_vap_turnout_2020,state_vap_turnout_2016,total_votes_2020,state_voterreg_2018,state_dem_gallup_2016,state_rep_gallup_2016,state_median_income,state_white_evangel,state_gallup_conservative,state_gallup_liberal,state_urbanicity
AL,Alabama,0.3656999,0.6203164,0.343579458,0.620830924,-0.28,0.605856901,0.56,"2,323,282.00",0.69,0.348,0.518,48123,0.31,0.46,0.14,9.94945782
AK,Alaska,0.4277195,0.5283314,0.365508713,0.512815121,-0.15,0.655759607,0.57,"359,530.00",0.677,0.369,0.454,73181,0.21,0.4,0.17,9.910400136
AZ,Arizona,0.4936469,0.4905598,0.451260218,0.486716165,-0.04,0.589907909,0.49,"3,387,326.00",0.686,0.414,0.417,56581,0.15,0.37,0.21,11.53055063
AR,Arkansas,0.3477506,0.6239573,0.336531241,0.605741022,-0.27,0.524918664,0.49,"1,219,069.00",0.585,0.343,0.486,45869,0.34,0.41,0.15,9.736944986
CA,California,0.6348398,0.3432074,0.617263996,0.316171065,0.3,0.577709663,0.47,"17,500,871.00",0.615,0.503,0.32,71805,0.07,0.29,0.29,12.23909067
CO,Colorado,0.5540002,0.4189828,0.481569804,0.432513974,0.05,0.717150141,0.65,"3,256,952.00",0.656,0.424,0.43,69117,0.15,0.33,0.26,11.39729392
CT,Connecticut,0.5923894,0.3920965,0.545663011,0.409269144,0.14,0.655413629,0.58,"1,824,273.00",0.68,0.511,0.328,74168,0.06,0.3,0.27,11.39614741
DE,Delaware,0.5874301,0.3977488,0.533533368,0.419228243,0.11,0.652185453,0.59,"504,346.00",0.663,0.534,0.341,62852,0.07,0.29,0.24,11.02728387
DC,District of Columbia,0.9214969,0.0539732,0.908638215,0.040874745,0.86,0.595278605,0.55,"344,356.00",0.776,0.72,0.13,82372,0.1,0.2,0.5,13.44902351
FL,Florida,0.4786145,0.5121982,0.478233158,0.490219414,-0.01,0.635275508,0.57,"11,067,456.00",0.627,0.425,0.414,52594,0.14,0.36,0.22,11.52732404
GA,Georgia,0.4949527,0.4925958,0.45889341,0.510487192,-0.05,0.605747501,0.53,"4,997,716.00",0.662,0.419,0.431,56183,0.24,0.39,0.19,10.76425095
HI,Hawaii,0.6373364,0.3426886,0.622214917,0.30038677,0.32,0.520234624,0.38,"574,469.00",0.539,0.498,0.311,77765,0.05,0.22,0.28,11.19555841
ID,Idaho,0.3309626,0.638952,0.274920138,0.592614324,-0.32,0.634460663,0.55,"867,231.00",0.606,0.294,0.556,52225,0.43,0.4,0.17,10.31290608
IL,Illinois,0.5754164,0.4055344,0.558253667,0.387617531,0.17,0.61529079,0.56,"6,033,744.00",0.678,0.515,0.336,62992,0.11,0.31,0.27,11.70853277
IN,Indiana,0.4096166,0.5702117,0.377748397,0.569400335,-0.19,0.588458087,0.54,"3,033,112.00",0.653,0.372,0.452,54181,0.27,0.39,0.17,10.55831595
IA,Iowa,0.4489172,0.5308932,0.417404892,0.511473272,-0.09,0.696848096,0.65,"1,690,871.00",0.74,0.395,0.453,58570,0.19,0.35,0.21,9.917997387
KS,Kansas,0.4155955,0.5621251,0.360523707,0.566545818,-0.21,0.618523486,0.54,"1,372,303.00",0.715,0.339,0.508,56422,0.23,0.39,0.18,10.41095067
KY,Kentucky,0.3615151,0.6208657,0.326821883,0.625196386,-0.3,0.618222189,0.56,"2,136,768.00",0.735,0.399,0.491,48375,0.35,0.39,0.2,10.08189389
LA,Louisiana,0.3985146,0.5846088,0.384495661,0.580886847,-0.2,0.612773742,0.57,"2,148,062.00",0.68,0.411,0.455,46145,0.17,0.43,0.15,10.44470141
ME,Maine,0.5309246,0.4402125,0.478302027,0.448697533,0.03,0.749944164,0.69,"819,461.00",0.784,0.436,0.397,56277,0.17,0.35,0.33,9.377285439
MD,Maryland,0.6536066,0.3215029,0.603257442,0.339093047,0.26,0.648485022,0.6,"3,037,030.00",0.723,0.545,0.313,80776,0.09,0.29,0.28,11.72371018
MA,Massachusetts,0.6560006,0.3214191,0.600050646,0.328083581,0.27,0.657152017,0.61,"3,631,402.00",0.68,0.541,0.292,77385,0.03,0.21,0.35,11.83650504
MI,Michigan,0.5062082,0.4783729,0.47274531,0.474975642,0,0.708856954,0.62,"5,539,302.00",0.734,0.437,0.388,54909,0.12,0.33,0.23,10.92031486
MN,Minnesota,0.5239506,0.4528513,0.464449186,0.449247881,0.02,0.752042651,0.69,"3,277,120.00",0.749,0.451,0.404,68388,0.13,0.32,0.25,10.74760238
