state_abb,state_fips,state_name,region,region_census,region_computed
AL,1,Alabama,South,East South Central,Deep South
AK,2,Alaska,Mountain West,Mountain,Mountain West
AZ,4,Arizona,Southwest,Southwest,Southwest
AR,5,Arkansas,South,East South Central,Deep South
CA,6,California,West,Pacific,Pacific
CO,8,Colorado,Southwest,Mountain,Southwest
CT,9,Connecticut,New England,New England,Middle Atlantic
DE,10,Delaware,Middle Atlantic,South Atlantic,Middle Atlantic
DC,11,District of Columbia,Middle Atlantic,Middle Atlantic,Middle Atlantic
FL,12,Florida,Southeast,South Atlantic,South Atlantic
GA,13,Georgia,Southeast,South Atlantic,South Atlantic
HI,15,Hawaii,West,Pacific,Pacific
ID,16,Idaho,Mountain West,Mountain,Mountain West
IL,17,Illinois,Midwest,East North Central,Middle Atlantic
IN,18,Indiana,Midwest,East North Central,Heartland
IA,19,Iowa,Midwest,West North Central,Midwest
KS,20,Kansas,Plains,West North Central,Heartland
KY,21,Kentucky,South,East South Central,Deep South
LA,22,Louisiana,South,East South Central,Deep South
ME,23,Maine,New England,New England,New England
MD,24,Maryland,Middle Atlantic,Middle Atlantic,Middle Atlantic
MA,25,Massachusetts,New England,New England,Middle Atlantic
MI,26,Michigan,Midwest,East North Central,Midwest
MN,27,Minnesota,Midwest,West North Central,Midwest
MS,28,Mississippi,South,East South Central,Deep South
MO,29,Missouri,Midwest,West North Central,Heartland
MT,30,Montana,Mountain West,Mountain,Mountain West
NE,31,Nebraska,Plains,West North Central,Heartland
NV,32,Nevada,Southwest,Southwest,Southwest
NH,33,New Hampshire,New England,New England,New England
NJ,34,New Jersey,Middle Atlantic,Middle Atlantic,Middle Atlantic
NM,35,New Mexico,Southwest,Southwest,Southwest
NY,36,New York,Middle Atlantic,Middle Atlantic,Middle Atlantic
NC,37,North Carolina,Southeast,South Atlantic,South Atlantic 
ND,38,North Dakota,Mountain West,West North Central,Heartland
OH,39,Ohio,Midwest,East North Central,Heartland
OK,40,Oklahoma,Plains,Southwest,Heartland
OR,41,Oregon,West,Pacific,Pacific
PA,42,Pennsylvania,Middle Atlantic,Middle Atlantic,Middle Atlantic
RI,44,Rhode Island,New England,New England,Middle Atlantic
SC,45,South Carolina,Southeast,South Atlantic,South Atlantic
SD,46,South Dakota,Mountain West,West North Central,Heartland
TN,47,Tennessee,South,East South Central,Deep South
TX,48,Texas,Plains,Southwest,Southwest
UT,49,Utah,Southwest,Mountain,Mountain West
VT,50,Vermont,New England,New England,New England
VA,51,Virginia,Southeast,South Atlantic,Middle Atlantic
WA,53,Washington,West,Pacific,Pacific
WV,54,West Virginia,South,East South Central,Deep South
WI,55,Wisconsin,Midwest,East North Central,Midwest
WY,56,Wyoming,Mountain West,Mountain,Mountain West
