policy,support_natl,median_senate,senate_40th_vote_pop,senate_40th_vote_biden,AYE,NAY,outcome,pct
abortion_most_time,0.6664624514890835,0.646275411535862,0.6178673432677131,0.5724923338118397,NA,NA,NA,NA
DON'T make abortion always illegal,0.7298032642740471,0.7393268617939026,0.7153788015646141,0.6596731427530397,NA,NA,NA,NA
cap_carbon,0.7721894961618669,0.7593590051262366,0.7480177222438096,0.7156074654643941,NA,NA,NA,NA
gov_health_subsidies,0.6289178259616974,0.6114248204247625,0.6116419937651116,0.5924322950683122,184094590,140930616,passed,0.5664009639916973
guns_assault,0.5473542342557484,0.5213153420213085,0.4824066610060586,0.4548205887373163,NA,NA,NA,NA
guns_bg,0.9093266440754432,0.905821006090342,0.8970579145293608,0.8914990248037924,196206485.5,119275904.5,failed,0.6219253172895007
legal_marijuana,0.6752034434614563,0.6803096288967238,0.689105939061126,0.668628718693702,NA,NA,NA,NA
minimum_wage_15d,0.7331775310587973,0.7050138573899428,0.701454023080016,0.6745012985092443,NA,NA,NA,NA
paid_maternity_12wk,0.8038075202320535,0.7979057550760389,0.7805805317500418,0.7881200967789826,NA,NA,NA,NA
path_to_citizenship_dreamers,0.6880911254226177,0.680970498437373,0.6713400481796029,0.6494976158781179,190588187.5,132290973.5,failed,0.5902771393165259
raise_taxes_600k,0.748019137704112,0.7555978108282317,0.743192088011273,0.72629033168708,NA,NA,NA,NA
state_college,0.694116471540151,0.6817534841430675,0.6700332886282858,0.6719795326563675,NA,NA,NA,NA
